territory,timestamp,winner,randomNumber,day
Hawai'i,2020-04-21T03:00:50.558Z,Georgia Tech,128.127251321415,30
Air Force,2020-04-21T03:00:50.558Z,Texas,19.21409375521093,30
Akron,2020-04-21T03:00:50.558Z,Ohio State,59.42053904735008,30
Alabama,2020-04-21T03:00:50.558Z,Alabama,58.894124515474424,30
Arizona,2020-04-21T03:00:50.558Z,Michigan,37.901018136737996,30
Arizona State,2020-04-21T03:00:50.558Z,Michigan,79.27574879925773,30
Arkansas,2020-04-21T03:00:50.558Z,Texas A&M,114.45780771371314,30
Arkansas State,2020-04-21T03:00:50.558Z,Chaos,64.60156281337676,30
Army,2020-04-21T03:00:50.558Z,Michigan,268.1596316808806,30
Baylor,2020-04-21T03:00:50.558Z,Texas A&M,44.684877128192376,30
Boise State,2020-04-21T03:00:50.558Z,Michigan,295.6738015237083,30
Boston College,2020-04-21T03:00:50.558Z,Ohio State,547.8480006595288,30
Bowling Green,2020-04-21T03:00:50.558Z,Ohio State,30.76264962449315,30
Buffalo,2020-04-21T03:00:50.558Z,Ohio State,141.60833831674148,30
BYU,2020-04-21T03:00:50.558Z,Ohio State,211.84804254955876,30
California,2020-04-21T03:00:50.558Z,Michigan,9.35481832443206,30
Chaos,2020-04-21T03:00:50.558Z,Ohio State,175.0074831973718,30
Charlotte,2020-04-21T03:00:50.558Z,Georgia Tech,178.13565180775993,30
Cincinnati,2020-04-21T03:00:50.558Z,Ohio State,67.83584693777611,30
Clemson,2020-04-21T03:00:50.558Z,Georgia Tech,135.08934376922838,30
Coastal Carolina,2020-04-21T03:00:50.559Z,Clemson,116.35154002524884,30
Colorado,2020-04-21T03:00:50.559Z,Nebraska,12.249740245474568,30
Colorado State,2020-04-21T03:00:50.559Z,Nebraska,4.6144007254324535,30
Duke,2020-04-21T03:00:50.559Z,Chaos,134.50360876828464,30
East Carolina,2020-04-21T03:00:50.559Z,Chaos,50.42811652347708,30
Florida,2020-04-21T03:00:50.559Z,Georgia Tech,5.625905555847188,30
Florida Atlantic,2020-04-21T03:00:50.559Z,Georgia Tech,230.48666983257374,30
Florida International,2020-04-21T03:00:50.559Z,Georgia Tech,128.67708393929004,30
Florida State,2020-04-21T03:00:50.559Z,Georgia Tech,13.029198279480749,30
